movieId,imdb_id,tmdb_id,rating,average_rating,title
8874,365748,747,4,3.87616,Shaun of the Dead (2004)
8950,361862,4553,4,3.80301,The Machinist (2004)
8957,387564,176,3.5,3.29262,Saw (2004)
8961,317705,9806,4,3.84619,The Incredibles (2004)
26082,56058,14537,5,4.18437,Harakiri (1962)
27773,364569,670,4.5,4.09163,Oldboy (2003)
30707,405159,70,4,3.82154,Million Dollar Baby (2004)
30749,395169,205,4,3.96043,Hotel Rwanda (2004)
30810,362270,421,3.5,3.71026,The Life Aquatic with Steve Zissou (2004)
31364,353969,11423,5,4.05384,Memories of Murder (2003)
31410,363163,613,4,3.9987,Downfall (2004)
31658,347149,4935,4,4.12188,Howl's Moving Castle (2004)
31696,360486,561,4,3.49911,Constantine (2005)
31878,373074,9470,4,3.7633,Kung Fu Hustle (2004)
32587,401792,187,4,3.75011,Sin City (2005)
33493,121766,1895,3,3.39653,Star Wars: Episode III - Revenge of the Sith (2005)
33794,372784,272,4.5,3.92109,Batman Begins (2005)
37729,121164,3933,4,3.54902,Corpse Bride (2005)
38061,373469,5236,4,3.83027,Kiss Kiss Bang Bang (2005)
39446,432348,215,3,2.93557,Saw II (2005)
40732,435625,9392,3.5,3.54327,The Descent (2005)
41569,360717,254,4,3.18279,King Kong (2005)
44555,405094,582,4,4.18922,The Lives of Others (2006)
45186,317919,956,3.5,3.37529,Mission: Impossible III (2006)
45517,317219,920,4.5,3.34575,Cars (2006)
45722,383574,58,3,3.4802,Pirates of the Caribbean: Dead Man's Chest (2006)
46578,449059,773,4,3.86675,Little Miss Sunshine (2006)
46723,449467,1164,4,3.62058,Babel (2006)
47099,454921,1402,4.5,3.83871,The Pursuit of Happyness (2006)
47610,443543,1491,3.5,3.80095,The Illusionist (2006)
48385,443453,496,4,3.42816,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
48394,457430,1417,4.5,3.96832,Pan's Labyrinth (2006)
48516,407887,1422,4.5,4.13321,The Departed (2006)
48774,206634,9693,4,3.9229,Children of Men (2006)
48780,482571,1124,4.5,4.12384,The Prestige (2006)
49272,381061,36557,4,3.8388,Casino Royale (2006)
49530,450259,1372,4,3.84748,Blood Diamond (2006)
50872,382932,2062,4.5,3.83916,Ratatouille (2007)
51255,425112,4638,4,3.87516,Hot Fuzz (2007)
51540,443706,1949,4,3.79926,Zodiac (2007)
53125,449088,285,3.5,3.40271,Pirates of the Caribbean: At World's End (2007)
53519,1028528,1991,3,3.54553,Death Proof (2007)
53972,337978,1571,3,3.41044,Live Free or Die Hard (2007)
54503,829482,8363,4,3.77488,Superbad (2007)
54997,381849,5176,4,3.72095,3:10 to Yuma (2007)
55052,783233,4347,4,3.75996,Atonement (2007)
55118,765443,2252,4,3.80823,Eastern Promises (2007)
55269,838221,4538,4.5,3.71661,The Darjeeling Limited (2007)
55290,452623,4771,4,3.80684,Gone Baby Gone (2007)
55363,443680,4512,4.5,3.66557,The Assassination of Jesse James by the Coward Robert Ford (2007)
55765,765429,4982,3.5,3.80766,American Gangster (2007)
55820,477348,6977,4,4.06491,No Country for Old Men (2007)
55908,756683,13363,4,3.94631,The Man from Earth (2007)
56174,480249,6479,4,3.5211,I Am Legend (2007)
56367,467406,7326,4,3.7018,Juno (2007)
56782,469494,7345,4.5,4.039,There Will Be Blood (2007)
57183,986264,7508,4,3.96565,Like Stars on Earth (2007)
57274,1038988,8329,4,3.70122,[REC] (2007)
57669,780536,8321,3.5,3.91212,In Bruges (2008)
58559,468569,155,5,4.18786,The Dark Knight (2008)
59315,371746,1726,4,3.82002,Iron Man (2008)
59784,441773,9502,4.5,3.63676,Kung Fu Panda (2008)
60069,910970,10681,4.5,4.01554,WALL·E (2008)
60684,409459,13183,5,3.6877,Watchmen (2009)
61132,942385,7446,4.5,3.44824,Tropic Thunder (2008)
61240,1139797,13310,4,3.9393,Let the Right One In (2008)
61323,887883,4944,4,3.56765,Burn After Reading (2008)
62511,383028,4960,4.5,3.86369,"Synecdoche, New York (2008)"
63082,1010048,12405,4,3.82454,Slumdog Millionaire (2008)
64034,914798,14574,4,3.76828,The Boy in the Striped Pyjamas (2008)
64614,1205489,13223,4,3.88748,Gran Torino (2008)
64839,1125849,12163,4,3.79465,The Wrestler (2008)
64993,983213,38142,3,3.76779,5 Centimeters per Second (2007)
66097,327597,14836,4,3.76759,Coraline (2009)
68157,361748,16869,5,4.04454,Inglourious Basterds (2009)
68237,1182345,17431,4,4.00588,Moon (2009)
68954,1049413,14160,4.5,3.95754,Up (2009)
69481,887912,12162,4,3.72308,The Hurt Locker (2008)
69757,1022603,19913,4,3.72506,(500) Days of Summer (2009)
70286,1136608,17654,4,3.80756,District 9 (2009)
71033,1305806,25376,4,4.00316,The Secret in Their Eyes (2009)
71899,978762,24238,4,3.92028,Mary and Max (2009)
72226,432283,10315,4,3.8996,Fantastic Mr. Fox (2009)
72641,878804,22881,4,3.65266,The Blind Side (2009)
72998,499549,19995,3.5,3.59551,Avatar (2009)
73017,988045,10528,4.5,3.73521,Sherlock Holmes (2009)
73290,1028532,28178,4,3.77745,Hachi: A Dog's Tale (2009)
73808,1190539,13855,4,3.8954,The Chaser (2008)
73881,1187043,20453,4.5,3.97632,3 Idiots (2009)
74458,1130884,11324,4,4.00812,Shutter Island (2010)
76091,1216496,30018,4,3.84496,Mother (2009)
76093,892769,10191,4,3.91004,How to Train Your Dragon (2010)
76251,1250777,23483,3.5,3.58485,Kick-Ass (2010)
77561,1228705,10138,3.5,3.41268,Iron Man 2 (2010)
78039,1120985,46705,4,3.6792,Blue Valentine (2010)
78499,435761,10193,4.5,3.81919,Toy Story 3 (2010)
79132,1375666,27205,5,4.17271,Inception (2010)
79702,446029,22538,4,3.77289,Scott Pilgrim vs. the World (2010)
80463,1285016,37799,4,3.7906,The Social Network (2010)
80489,840361,23168,4,3.73814,The Town (2010)
81591,947798,44214,5,3.79658,Black Swan (2010)
81819,1164999,45958,4,3.64469,Biutiful (2010)
81834,926084,12444,3.5,3.82669,Harry Potter and the Deathly Hallows: Part 1 (2010)
81845,1504320,45269,4,3.90023,The King's Speech (2010)
81847,398286,38757,4,3.72425,Tangled (2010)
81932,964517,45317,4,3.81588,The Fighter (2010)
82667,1588170,49797,4.5,3.80278,I Saw the Devil (2010)
84944,1192628,44896,4.5,3.39929,Rango (2011)
85414,945513,45612,4,3.7533,Source Code (2011)
86332,800369,10195,3,3.29695,Thor (2011)
86781,1255953,46738,4.5,4.043,Incendies (2010)
86880,1298650,1865,3,3.24143,Pirates of the Caribbean: On Stranger Tides (2011)
86882,1605783,59436,4.5,3.76791,Midnight in Paris (2011)
86892,1527788,51608,4,3.82649,The Man from Nowhere (2010)
87232,1270798,49538,3.5,3.68468,X-Men: First Class (2011)
88125,1201607,12445,4,3.88642,Harry Potter and the Deathly Hallows: Part 2 (2011)
88129,780504,64690,4.5,3.85409,Drive (2011)
88163,1570728,50646,4,3.75174,"Crazy, Stupid, Love. (2011)"
88810,1454029,50014,4,3.86512,The Help (2011)
89118,1189073,63311,3.5,3.75932,The Skin I Live In (2011)
89492,1210166,60308,4,3.91006,Moneyball (2011)
89745,848228,24428,4,3.72554,The Avengers (2012)
89759,1832382,60243,4,3.96542,A Separation (2011)
90376,1242460,71859,3.5,3.68227,We Need to Talk About Kevin (2011)
91529,1345836,49026,4.5,3.96784,The Dark Knight Rises (2012)
91542,1515091,58574,4.5,3.70988,Sherlock Holmes: A Game of Shadows (2011)
91630,1229238,56292,4.5,3.6691,Mission: Impossible - Ghost Protocol (2011)
91658,1568346,65754,3.5,3.81164,The Girl with the Dragon Tattoo (2011)
92259,1675434,77338,4.5,4.11804,The Intouchables (2011)
93570,1646959,59421,3.5,3.58286,Bedevilled (2010)
93838,1899353,94329,4,3.81697,The Raid (2012)
93840,1259521,22970,3.5,3.64934,The Cabin in the Woods (2012)
94864,1446714,70981,4.5,3.38287,Prometheus (2012)
94959,1748122,83666,4.5,3.953,Moonrise Kingdom (2012)
95167,1217209,62177,4,3.48356,Brave (2012)
96079,1074638,37724,4.5,3.74474,Skyfall (2012)
96610,1276104,59967,4,3.6483,Looper (2012)
96728,1560747,68722,4,3.65144,The Master (2012)
96811,1855199,77016,4,3.78046,End of Watch (2012)
96821,1659337,84892,5,3.8247,The Perks of Being a Wallflower (2012)
96829,2106476,103663,5,4.07693,The Hunt (2012)
97188,1922777,82507,4,3.54866,Sinister (2012)
97304,1024648,68734,4.5,3.76087,Argo (2012)
97306,1931533,86838,4,3.65696,Seven Psychopaths (2012)
97921,1045658,82693,4,3.69548,Silver Linings Playbook (2012)
97938,454876,87827,4.5,3.66714,Life of Pi (2012)
98056,1602620,86837,3.5,3.83581,Amour (2012)
98809,903624,49051,4,3.61163,The Hobbit: An Unexpected Journey (2012)
98961,1790885,97630,4,3.70868,Zero Dark Thirty (2012)
99114,1853728,68718,4,4.03855,Django Unchained (2012)
100714,2209418,132344,4.5,3.95152,Before Midnight (2013)
101525,1817273,97367,4.5,3.67973,The Place Beyond the Pines (2013)
102125,1300854,68721,3.5,3.44882,Iron Man 3 (2013)
102407,1343092,64682,3.5,3.47612,The Great Gatsby (2013)
102993,1727388,147773,4.5,3.75671,The Way Way Back (2013)
103141,1453405,62211,3.5,3.44815,Monsters University (2013)
103688,1457767,138843,4,3.67653,The Conjuring (2013)
104374,2194499,122906,4.5,3.97211,About Time (2013)
104841,1454468,49047,4.5,3.59692,Gravity (2013)
104879,1392214,146233,4.5,4.04961,Prisoners (2013)
104913,1979320,96721,4,3.86878,Rush (2013)
106100,790636,152532,4,3.90026,Dallas Buyers Club (2013)
106782,993846,106646,4,3.9491,The Wolf of Wall Street (2013)
106916,1800241,168672,3.5,3.52811,American Hustle (2013)
106918,359950,116745,4.5,3.69527,The Secret Life of Walter Mitty (2013)
106920,1798709,152601,4.5,3.89767,Her (2013)
108729,2316411,181886,4,3.5732,Enemy (2014)
108932,1490017,137106,4.5,3.67086,The Lego Movie (2014)
109374,2278388,120467,4,4.02616,The Grand Budapest Hotel (2014)
109487,816692,157336,5,4.16287,Interstellar (2014)
109633,2591814,198375,4,3.76058,The Garden of Words (2013)
110501,2265171,180299,4,3.77967,The Raid 2 (2014)
111362,1877832,127585,3.5,3.68456,X-Men: Days of Future Past (2014)
111759,1631867,137113,4,3.96616,Edge of Tomorrow (2014)
111781,2381249,177677,4,3.66319,Mission: Impossible - Rogue Nation (2015)
112175,1646971,82702,3.5,3.72408,How to Train Your Dragon 2 (2014)
112183,2562232,194662,5,3.7246,Birdman or (The Unexpected Virtue of Ignorance) (2014)
112290,1065073,85350,4,3.78953,Boyhood (2014)
112515,2321549,242224,3,3.51449,The Babadook (2014)
112552,2582802,244786,5,4.15903,Whiplash (2014)
112556,2267998,210577,4.5,3.95813,Gone Girl (2014)
112852,2015381,118340,4,3.90498,Guardians of the Galaxy (2014)
114662,2179136,190859,4,3.47837,American Sniper (2014)
115122,3416742,246741,4,4.00982,What We Do in the Shadows (2014)
115569,2872718,242582,4,3.98035,Nightcrawler (2014)
115617,2245084,177572,4,3.86221,Big Hero 6 (2014)
115713,470752,264660,4,3.98622,Ex Machina (2015)
116797,2084970,205596,4,3.99818,The Imitation Game (2014)
116897,3011894,265195,4.5,4.09199,Wild Tales (2014)
119145,2802144,207703,4,3.80153,Kingsman: The Secret Service (2015)
120138,2338151,297222,4,3.77051,PK (2014)
120311,3417422,244049,4,3.87288,Drishyam (2013)
121231,3235888,270303,3.5,3.63966,It Follows (2015)
122882,1392190,76341,4.5,3.87582,Mad Max: Fury Road (2015)
122886,2488496,140607,4,3.5845,Star Wars: The Force Awakens (2015)
122904,1431045,293660,4,3.85026,Deadpool (2016)
122906,1825683,284054,3.5,3.58867,Black Panther (2018)
122912,4154756,299536,4.5,3.91729,Avengers: Infinity War (2018)
122914,4154796,299534,4,3.89084,Avengers: Endgame (2019)
122916,3501632,284053,3.5,3.85738,Thor: Ragnarok (2017)
122920,3498820,271110,4.5,3.6782,Captain America: Civil War (2016)
122924,3385516,246655,3,3.15754,X-Men: Apocalypse (2016)
127202,2582496,308369,4,3.83869,Me and Earl and the Dying Girl (2015)
128360,3460252,273248,4,3.88517,The Hateful Eight (2015)
133771,3464902,254320,3.5,3.65661,The Lobster (2015)
134130,3659388,286217,4,4.02559,The Martian (2015)
134853,2096673,150540,4.5,3.91027,Inside Out (2015)
136864,2975590,209112,4,2.70118,Batman v Superman: Dawn of Justice (2016)
139385,1663202,281957,4,3.77721,The Revenant (2015)
139644,3397884,273481,4.5,3.90265,Sicario (2015)
139855,2401878,291270,4,3.57179,Anomalisa (2015)
140174,3170832,264644,4,3.93716,Room (2015)
140267,4263482,310131,5,3.77853,The Witch (2016)
141866,4062536,313922,3.5,3.65156,Green Room (2016)
142488,1895587,314365,4,4.07219,Spotlight (2015)
148626,1596363,318846,4,4.06459,The Big Short (2015)
149334,4550098,340666,4.5,3.716,Nocturnal Animals (2016)
152077,1179933,333371,4,3.73205,10 Cloverfield Lane (2016)
152081,2948356,269149,4,3.84548,Zootopia (2016)
152970,4698684,371645,4,4.00697,Hunt for the Wilderpeople (2016)
158238,3799694,290250,4,3.78092,The Nice Guys (2016)
158783,4016934,290098,4,4.10105,The Handmaiden (2016)
158966,3553976,334533,4.5,3.90723,Captain Fantastic (2016)
159061,5215952,293670,4.5,3.80015,The Wailing (2016)
161582,2582782,338766,4,3.89546,Hell or High Water (2016)
162082,5700672,396535,4,3.8504,Train to Busan (2016)
163134,5311514,372058,5,4.13973,Your Name. (2016)
163645,2119532,324786,4,3.89095,Hacksaw Ridge (2016)
164179,2543164,329865,4,4.05082,Arrival (2016)
164909,3783958,313369,5,3.74151,La La Land (2016)
165549,4034228,334541,4.5,3.87395,Manchester by the Sea (2016)
165603,3289956,397243,4,3.50657,The Autopsy of Jane Doe (2016)
166291,5323662,378064,3.5,4.04841,A Silent Voice: The Movie (2016)
166461,3521164,277834,4,3.78848,Moana (2016)
166534,4972582,381288,4,3.59364,Split (2017)
166946,4276820,310307,3.5,3.74026,The Founder (2016)
167392,5074352,360814,4,3.88659,Dangal (2016)
167746,4116284,324849,4,3.59306,The Lego Batman Movie (2017)
167832,4857264,411088,4,4.01211,The Invisible Guest (2017)
168248,4425200,324552,4,3.80949,John Wick: Chapter 2 (2017)
168250,5052448,419430,4.5,3.98471,Get Out (2017)
168252,3315342,263115,4.5,3.90976,Logan (2017)
168492,5726616,398818,4,3.92723,Call Me by Your Name (2017)
168610,6265828,428449,4.5,3.46917,A Ghost Story (2017)
170705,185906,331214,5,4.41339,Band of Brothers (2001)
171011,5491994,420714,5,4.42794,Planet Earth II (2016)
171749,877057,419787,4.5,4.00448,Death Note: Desu nôto (2006–2007) ()
171763,3890160,339403,4,3.79572,Baby Driver (2017)
173197,4995790,401246,3,3.62084,The Square (2017)
174055,5013056,374720,3.5,3.78243,Dunkirk (2017)
174727,4846232,429200,4,3.858,Good Time (2017)
175303,1396484,346364,4,3.49636,It (2017)
175569,5362988,395834,4,3.87192,Wind River (2017)
176371,1856101,335984,4,3.96411,Blade Runner 2049 (2017)
177593,5027774,359940,4.5,3.98801,"Three Billboards Outside Ebbing, Missouri (2017)"
177615,4925292,391713,4.5,3.79051,Lady Bird (2017)
177651,5649144,394117,4,3.90597,The Florida Project (2017)
177689,5715874,399057,3.5,3.65026,The Killing of a Sacred Deer (2017)
177765,2380307,354912,4,4.00399,Coco (2017)
178061,5580036,389015,4,3.75128,"I, Tonya (2017)"
179135,6769208,463612,4.5,4.30365,Blue Planet II (2017)
179819,2527336,181808,4,3.21697,Star Wars: The Last Jedi (2017)
180031,5580390,399055,4,3.4895,The Shape of Water (2017)
180045,4209788,396371,4,3.76503,Molly's Game (2017)
180095,2543472,406997,4,3.77362,Wonder (2017)
182715,2798920,300668,4,3.59366,Annihilation (2018)
183125,6148156,432139,4,3.79487,Vikram Vedha (2017)
183869,7784604,493922,4,3.86882,Hereditary (2018)
183897,5104604,399174,4,3.84202,Isle of Dogs (2018)
